epoch,sample,loss,lr,seconds
0,3450,0.2084,0.00010989,735.5
0,3500,0.1972,0.00010785,748.1
0,3550,0.2233,0.0001058,762.4
0,3600,0.1838,0.00010341,777.2
0,3650,0.244,0.00010137,792.0
0,3700,0.1949,9.932e-05,806.3
0,3750,0.2169,9.727e-05,816.9
0,3800,0.2039,9.488e-05,828.7
0,3850,0.2214,9.284e-05,843.7
0,3900,0.1801,9.079e-05,859.2
0,3950,0.228,8.876e-05,872.5
0,4000,0.1925,8.638e-05,883.4
0,4050,0.2328,8.436e-05,894.2
0,4100,0.1895,8.234e-05,904.9
0,4150,0.2046,8.032e-05,916.7
0,4200,0.1996,7.799e-05,928.7
0,4250,0.2361,7.599e-05,940.5
0,4300,0.2074,7.401e-05,951.4
0,4350,0.2426,7.204e-05,962.4
0,4400,0.2311,6.975e-05,973.5
0,4450,0.1974,6.78e-05,985.1
0,4500,0.2013,6.587e-05,997.5
0,4550,0.1982,6.395e-05,1009.8
0,4600,0.2071,6.173e-05,1020.5
0,4650,0.1998,5.985e-05,1031.1
0,4700,0.2011,5.798e-05,1041.7
0,4750,0.2172,5.613e-05,1052.2
0,4800,0.1891,5.399e-05,1062.6
0,4850,0.199,5.218e-05,1073.1
0,4900,0.1896,5.039e-05,1083.7
0,4950,0.2238,4.863e-05,1094.3
0,5000,0.221,4.659e-05,1104.7
0,5050,0.2055,4.487e-05,1115.3
0,5100,0.1985,4.317e-05,1126.7
0,5150,0.2006,4.15e-05,1139.0
0,5200,0.1849,3.958e-05,1149.9
0,5250,0.2102,3.796e-05,1160.6
0,5300,0.1946,3.636e-05,1171.6
0,5350,0.2415,3.48e-05,1182.1
0,5400,0.1917,3.3e-05,1192.9
0,5450,0.1946,3.15e-05,1204.3
0,5500,0.2209,3.002e-05,1215.1
0,5550,0.1993,2.857e-05,1225.6
0,5600,0.2092,2.692e-05,1236.1
0,5650,0.1873,2.553e-05,1246.6
0,5700,0.1798,2.418e-05,1257.1
0,5750,0.231,2.286e-05,1267.7
0,5800,0.236,2.136e-05,1278.3
0,5850,0.2166,2.011e-05,1288.9
0,5900,0.217,1.89e-05,1299.5
0,5950,0.1871,1.772e-05,1310.0
0,6000,0.1902,1.638e-05,1320.5
0,6050,0.1924,1.528e-05,1330.9
0,6100,0.2184,1.421e-05,1341.4
0,6150,0.1951,1.317e-05,1351.9
0,6200,0.213,1.201e-05,1362.3
0,6250,0.1949,1.105e-05,1372.8
0,6300,0.2123,1.014e-05,1383.2
0,6350,0.2142,9.26e-06,1393.6
0,6400,0.1969,8.28e-06,1404.1
0,6450,0.1962,7.48e-06,1414.6
0,6500,0.1877,6.72e-06,1425.1
0,6550,0.1743,6e-06,1435.5
0,6600,0.1996,5.22e-06,1446.0
0,6650,0.2026,4.58e-06,1456.4
0,6700,0.2044,3.99e-06,1466.9
0,6750,0.1828,3.44e-06,1477.3
0,6800,0.2256,2.84e-06,1487.7
0,6850,0.1841,2.38e-06,1498.2
0,6900,0.1772,1.95e-06,1508.8
0,6950,0.1864,1.57e-06,1519.2
0,7000,0.2251,1.18e-06,1529.7
0,7050,0.2053,8.9e-07,1540.3
0,7100,0.1944,6.3e-07,1550.8
0,7150,0.1843,4.2e-07,1561.3
0,7200,0.2253,2.3e-07,1571.9
0,7250,0.2234,1.1e-07,1582.4
0,7300,0.205,4e-08,1595.3
0,7350,0.1653,0.0,1607.8
0,7360,0.1411,0.0,1610.0
